sysyear,cowcode,country,year,length,scope,regionnum,simjacc,year2,cowcode2,country2,regionnum2,sysyear2,length2,scope2,samereg,la,meno,easteur,sahara,scopediff,lengthdiff,yeardiff
1975,350,Greece,2014,26989,51,8,76.27119,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,2,1.9913,0.16
1946,740,Japan,2014,4998,24,2,40,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,29,4.1904,0.45
2008,130,Ecuador,2014,54555,55,3,77.04918,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,2,0.7653,0.17
1976,235,Portugal,2014,35219,53,8,79.66102,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,0,1.1683,0.15
2011,620,Libya,2014,24924,49,4,70,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,4,2.1978,0.2
1996,369,Ukraine,2014,19299,46,1,73.68421,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,2.7603,0.05
2005,516,Burundi,2014,17574,46,7,76.78571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,2.9328,0.14
2001,433,Senegal,2014,10866,37,7,60.71429,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,16,3.6036,0.1
1949,750,India,2014,146385,42,6,66.66667,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,11,9.9483,0.42
1992,522,Djibouti,2014,6666,29,7,54.71698,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,24,4.0236,0.01
1999,475,Nigeria,2014,66263,44,7,64.40678,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,1.9361,0.08
1972,95,Panama,2014,26097,41,3,67.85714,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,12,2.0805,0.19
1977,510,Tanzania/Tanganyika,2014,35651,40,7,63.15789,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,13,1.1251,0.14
1991,349,Slovenia,2014,11406,43,1,71.42857,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,10,3.5496,0
1992,452,Ghana,2014,53985,50,7,71.66666,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,3,0.7083,0.01
2014,616,Tunisia,2014,9508,49,4,75.86207,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,4,3.7394,0.23
1992,461,Togo,2014,10252,40,7,69.09091,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,13,3.665,0.01
1215,200,United Kingdom,2014,54408,30,8,48.21429,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,23,0.7506,7.76
1992,366,Estonia,2014,11344,41,1,64.91228,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,12,3.5558,0.01
1987,93,Nicaragua,2014,20535,45,3,75,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,8,2.6367,0.04
1968,971,Nauru,2014,13714,23,5,40.74074,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,30,3.3188,0.23
1867,20,Canada,2014,19565,28,8,42.10526,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,25,2.7337,1.24
1987,840,Philippines,2014,21954,50,2,71.66666,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,3,2.4948,0.04
1953,390,Denmark,2014,6221,37,8,57.89474,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,16,4.0681,0.38
2008,775,Myanmar (Burma),2014,40492,42,2,72.72727,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,11,0.641,0.17
1985,90,Guatemala,2014,28692,41,3,67.85714,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,12,1.821,0.06
1991,355,Bulgaria,2014,13641,49,1,78.94737,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,4,3.3261,0
2013,552,Zimbabwe (Rhodesia),2014,55883,57,7,74.60318,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,4,0.8981,0.22
1980,155,Chile,2014,25821,47,3,75.4386,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,6,2.1081,0.11
1986,973,Tuvalu,2014,34801,28,5,50,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,25,1.2101,0.05
1983,60,St. Kitts And Nevis,2014,49643,39,3,58.62069,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,14,0.2741,0.08
